"My Wish List", "Wish List"
"My Account", "Account"
"Create an Account", "Sign Up"
"Add to Wish List", "Wish List"
"Add to Compare", "Compare"
"Special Price", "Now Only"
"Proceed to Checkout", "Go to Checkout"
"Update Shopping Cart", "Update Cart"
"Order Total Incl. Tax", "Order Total"
"Estimate Shipping and Tax", "Estimate Total"
