"My Wish List", "Wish List"
"My Account", "Account"
"Create an Account", "Sign Up"
"Add to Wish List", "Wish List"
"Add to Compare", "Compare"
"Special Price", "Now Only"
"Proceed to Checkout", "Go to Checkout"
"Update Shopping Cart", "Update Cart"
"Shop By", "Filter By"
"Qty:", "Quantity"
"Qty", "Quantity"
"Custom Price", "Optional Donation"
"Estimate Shipping and Tax", "Estimate Total"
